Date,Bitcoin_Price
04/2016,448.32
05/2016,531.39
06/2016,673.34
07/2016,624.68
08/2016,575.47
09/2016,609.73
10/2016,700.97
11/2016,745.69
12/2016,963.74
01/2017,970.4
02/2017,1179.97
03/2017,1071.79
04/2017,1347.89
05/2017,2286.41
06/2017,2480.84
07/2017,2875.34
08/2017,4703.39
09/2017,4338.71
10/2017,6468.4
11/2017,10233.6
12/2017,14156.4
01/2018,10221.1
02/2018,10397.9
03/2018,6973.53
04/2018,9240.55
05/2018,7494.17
06/2018,6404.0
07/2018,7780.44
08/2018,7037.58
09/2018,6625.56
10/2018,6317.61
11/2018,4017.27
12/2018,3742.7
01/2019,3457.79
02/2019,3854.79
03/2019,4105.4
04/2019,5350.73
05/2019,8574.5
06/2019,10817.16
07/2019,10085.63
08/2019,9630.66
09/2019,8293.87
10/2019,9199.58
11/2019,7569.63
